,SRR1275356,SRR1275251,SRR1275287,SRR1275364,SRR1275269,SRR1275263,SRR1275338,SRR1274117,SRR1274089,SRR1274125,SRR1275299,SRR1275277,SRR1275370,SRR1275293,SRR1275348,SRR1275245,SRR1275342,SRR1274131,SRR1275346,SRR1275241,SRR1275279,SRR1275297,SRR1275273,SRR1274121,SRR1275336,SRR1274119,SRR1274087,SRR1274113,SRR1275267,SRR1275289,SRR1275283,SRR1275360,SRR1275255,SRR1275358,SRR1275352,SRR1275265,SRR1275368,SRR1275281,SRR1275362,SRR1275257,SRR1275350,SRR1274129,SRR1274123,SRR1275334,SRR1274085,SRR1274111,SRR1275249,SRR1275344,SRR1275243,SRR1275301,SRR1275295,SRR1275271,SRR1274133,SRR1275275,SRR1275291,SRR1275247,SRR1275340,SRR1274115,SRR1274127,SRR1275354,SRR1275259,SRR1275253,SRR1275285,SRR1275366,SRR1275261
MSL2,0,1,0,1,0,0,1,3,0,557,0,11,304,0,0,0,34,0,0,40,1096,14,100,5,0,0,0,0,0,450,0,0,0,0,0,46,1,210,81,0,0,0,9,0,0,27,1,1916,0,0,83,12,2,3,3,4,266,0,0,169,0,282,6,1,0
MSL3,481,1,7,1,367,14,1,1,55,1,35,0,1,0,0,0,34,0,0,2482,1,54,0,98,0,0,1,10,0,0,0,0,0,0,0,19,1,2,15,0,0,442,2,0,0,0,1,0,0,0,34,5,18,0,1237,0,1,32,0,0,0,1,0,1,0
MSMO1,842,698,28,1,5396,371,837,1032,626,2474,305,56,82,0,322,0,2453,2203,945,445,1038,936,2780,618,62,3287,1574,292,1210,46,312,0,1993,1375,2652,528,4642,187,0,1023,1060,0,1510,0,1281,2,1,3018,2977,1226,590,638,1526,1743,1398,0,124,465,4747,0,8956,1,3551,1018,99
MSN,0,101,7,1,821,39,451,3,24,1,0,2,1,0,275,0,0,1,21,1451,3,0,0,5,0,1,19,0,53,8,72,0,0,177,186,4694,1,1,252,20,0,0,0,51,1,134,1,0,19,0,14,2,5,163,49,196,1,479,3,46,0,1,0,399,1158
MSRA,568,1,9,1,0,0,1,0,0,0,1371,140,764,195,0,0,0,0,0,1169,2254,2482,0,0,371,0,0,0,0,1757,12,0,0,0,0,0,89,1123,0,0,0,0,0,0,0,0,1,39,0,85,7,3697,0,27,5,0,1,1,0,0,147,1,132,1,0
MSTO1,0,1,0,1,0,86,1,61,14,0,0,0,1,0,36,37,0,16,0,0,4,0,0,2,0,0,1,1,0,0,0,903,0,0,0,0,131,0,0,0,0,0,0,365,9,3,68,0,0,57,0,25,1,0,2,0,1,243,2,0,0,1,0,1,642
MTA2,262,443,14,158,15,0,187,2,3,2,18,0,210,0,0,115,51,17,68,157,6,0,58,3,172,4,22,20,62,19,2,0,117,20,131,0,210,2,21,80,0,0,6,0,0,4,284,21,0,60,7,5,0,1,3,16,180,8,3,160,143,120,6,147,38
MTA3,1136,1,0,1,0,0,175,3,757,45,0,0,1,0,0,37,0,0,0,0,3,0,0,3971,0,1,0,1,0,0,0,0,0,286,75,0,1,0,15,0,0,448,0,0,317,145,1,0,78,0,0,74,9,0,40,11,1,0,154,0,0,1,0,1,0
MTAP,0,1,99,1,0,0,1,22,760,321,0,0,1,0,0,1374,0,365,0,0,0,0,0,8,0,3,20,0,0,0,0,0,0,0,0,0,290,0,0,20,184,7,1,51,1,2,1,31,299,0,43,2,0,0,2,6,1,20,2,46,0,1,0,1,0
MTCH1,129,1,9,1,29,0,1,0,7,18,0,0,1,1126,1380,0,0,0,0,32,222,0,0,0,0,145,3,2,0,0,6,0,0,122,0,0,1,0,263,0,0,0,0,0,8,0,1,0,79,0,76,2,0,197,2,0,1,44,136,0,0,1,6,1,50
MTCH2,129,1,26,1,0,120,1,57,2758,12,599,5,1,26,0,0,0,1,39,40,132,1148,1741,73,62,0,253,4,53,1239,6,0,1006,26,9,3187,154,2311,89,0,58,2,1,0,3,3,1,18,374,32,969,154,2627,2,2,0,292,252,4,115,0,1,37,1,22
MTDH,129,101,2866,428,23,26,1,306,183,42,536,104,1,37,33,7003,60,142,21,245,3,14,3527,725,537,29,0,3,0,51,74,68,56,41,20,83,1155,519,23,95,1398,2,1,220,1118,717,278,0,151,25,128,0,1018,0,533,41,1029,0,15,0,0,2920,19,1,38
MTERF2,0,1,148,1,0,0,1,0,2500,26,0,0,1,0,0,0,0,0,0,300,0,0,0,231,0,59,724,16,0,0,0,0,56,0,0,0,1,0,0,43,0,332,0,0,0,516,1273,0,0,0,18,39,0,0,0,0,1,1,0,0,0,3312,0,1,38
MTERF3,0,1,12,1,0,0,1,1,89,2,681,28,1,0,0,0,0,23,0,0,1,14,37,4,0,1,0,1,0,26,0,0,0,1722,0,0,1,1,0,0,58,0,2,0,536,49,1,7,0,14,7,11,5,73,0,0,1,1,817,46,0,1,58,1,0
MTERF4,0,1,0,1459,0,0,1,0,0,0,0,0,1,1003,0,0,0,47,0,0,1,0,4,3,62,322,0,14,0,0,26,0,0,0,0,641,1,100,21,1451,0,0,27,0,0,490,1,7,0,14,0,2733,0,0,0,4,1,0,0,0,50,1,12,1,0
MTF2,64,1,0,1,0,0,1,2370,91,1031,3491,130,82,1453,429,1722,0,20,0,0,128,869,275,13,0,4104,136,1354,140,0,0,0,0,0,3287,1125,89,55,115,0,470,209,3265,0,2267,261,1,118,98,0,0,0,441,161,47,131,3059,4671,2324,93,0,1,95,768,294
MTFMT,64,1,12,1,0,0,1,0,3,1,0,15,1,0,6,121,177,1,179,0,15,0,35,16,0,0,9,25,0,0,12,144,0,10,0,0,1,6,0,0,0,26,86,119,23,55,1,0,0,0,1736,22,0,398,0,79,563,777,0,0,50,1,0,65,235
MTFR1,0,1,191,158,22,0,1,1,2,0,0,0,1,0,0,124,0,0,0,0,0,0,0,38,468,0,0,0,0,0,0,0,0,0,727,0,1,5,0,0,908,0,0,0,0,0,1,0,0,0,273,0,1,19,0,0,1,0,0,0,0,1,213,1,0
MTFR1L,0,1626,341,1,2,0,153,0,0,92,0,903,1,1563,0,0,116,0,0,0,0,0,4,248,399,0,9,75,0,8,333,0,0,0,0,0,170,0,0,0,0,0,1,0,0,0,1,23,12,0,0,0,0,0,279,0,1,0,0,0,2678,1,0,2015,0
MTG1,0,1,0,1,0,0,1,0,0,2,13,203,1,0,0,0,0,2,662,0,0,133,0,44,0,73,98,0,1598,0,0,1465,122,0,934,0,131,21,0,80,0,2,0,0,104,0,1,0,0,0,286,0,0,8,41,8,1,0,59,0,0,1,0,1,0
MTHFD1,310,1,245,419,0,186,898,228,245,0,0,0,1,0,0,37,153,1,0,62,7,0,33,2,0,9,0,57,0,0,404,0,2841,524,855,0,1,1,0,0,14,2,1,0,341,524,1,0,12,0,0,208,8,61,344,0,1,37,1123,0,0,198,122,1,22
MTHFD2,0,1,0,1,0,76,1,1044,3,373,16,1884,1,18,537,0,0,1,21,0,79,14,9,35,62,0,218,1,15,19,239,0,0,10,4,0,89,2,0,0,707,0,0,0,0,127,1,7,0,14,7,1406,0,1,386,0,1,103,3,347,0,1,6,1,641
MTHFR,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,6,0,0,25,31,63,0,0,0,0,0,0,595,0,0,0,406,0,0,1,0,0,0,0,2,0,0,19,204,366,826,0,87,0,0,0,0,0,0,546,13,0,46,0,1,0,1,0
MTIF2,0,1,7,1,14,0,166,14,62,5,93,0,1,0,3110,0,0,274,0,0,0,0,864,0,0,0,323,328,0,0,0,0,0,0,0,3312,1,12,0,0,4498,54,0,0,0,0,1,0,0,14,0,0,121,1,0,0,1,0,0,0,0,1,0,1,0
MTIF3,129,1,332,1,0,0,667,234,4,373,0,0,1,0,0,667,2175,8,0,0,0,1010,0,0,0,0,10,0,385,46,113,0,98,0,0,337,1,75,0,374,0,2,25,0,1,158,1,7,85,257,7,362,127,638,0,27,1,0,12,0,0,1,498,1,82
MTMR12,64,1,0,1,13,0,1,2,0,0,23,0,1,390,0,707,0,0,0,0,566,14,257,0,0,0,0,0,188,1651,585,0,0,921,0,0,1,122,0,558,1416,0,0,0,0,0,1,0,0,0,50,0,1,463,7,20,1,29,7,0,0,1,446,1,0
MTMR2,0,1,4,1,28,26,1,198,0,178,7,0,1,1865,27,0,0,7,0,51,0,0,71,0,799,595,465,8,0,0,7,0,33,0,0,0,225,3506,0,0,0,0,0,0,9,233,1,132,0,926,2101,0,32,1,0,0,3651,2800,2,0,50,1,0,1,1204
MTMR3,207,1,21,1,0,43,1,0,0,0,67,6,1,57,0,0,0,0,21,0,110,14,17,0,172,0,1,0,31,162,1,0,104,10,0,0,1,1,0,2434,0,0,0,136,0,2,120,7,0,14,0,17,0,2,0,6,558,0,0,1167,0,1,0,1,0
MTMR4,0,1,0,1,0,0,1,0,29,0,0,19,150,89,0,0,0,2,0,0,0,0,0,1423,359,8,6,1,1386,19,0,101,0,117,0,0,1,384,0,62,14,171,6,72,49,2,1,0,208,480,285,0,64,0,138,150,1,9,471,0,0,413,3,1,0
MTMR6,0,1,3651,571,0,0,1,0,4,2,0,144,1,0,0,0,0,0,21,0,24,1643,0,0,0,0,0,0,0,57,0,0,0,10,0,0,1,0,0,0,0,0,0,0,3,0,1,2453,0,350,36,3607,0,0,2201,196,1,0,17,0,0,1,6,1,0
MTMR7,0,1,4,1,2,0,1,0,0,230,385,0,1,0,0,238,0,0,0,0,24,52,25,35,0,0,0,0,479,1020,30,0,1261,0,0,463,1,0,0,43,0,0,0,0,2,0,515,0,0,0,0,2,0,30,2,0,1,0,0,0,103,1,3,1,0
MTMR9,2218,1380,4,1,2,26,126,0,0,0,7,0,199,53,10,37,371,1,21,0,4,0,17,93,0,272,3539,0,102,51,205,0,33,0,7,0,1,18,8,250,0,9,5,0,2,0,1,7,12,1315,7,17,0,1633,222,62,1,2,0,115,112,541,1254,287,150
MTOR,129,1,0,1,0,0,1,1,113,1,21,114,1,0,0,154,74,0,0,17,0,14,0,0,0,0,0,0,284,0,1,0,165,32,0,1587,1,0,0,0,0,56,0,0,0,0,191,1522,301,0,0,5,0,0,4,0,1,0,13,0,0,1,28,1,0
MTPAP,0,526,6764,1,2627,14,866,3586,13,2373,1254,1459,82,18,32,2884,0,25,1273,271,417,40,4,5,0,25,21,21,2401,19,110,68,56,29,4452,2753,485,2652,78,699,27,1127,5,0,172,17,1,111,1109,3619,5280,5466,2482,1,2,4475,1,214,1,93,6569,1,1813,185,3986
MTR,64,1,0,1,8,3882,1,74,1558,207,0,0,1,0,43,0,0,14,0,0,0,1931,0,241,172,5,4,0,0,0,367,0,0,2324,0,83,193,0,234,0,14,114,2,0,0,0,1,0,725,0,0,1146,8,76,4,59,1,624,0,0,0,266,3,1,0
MTRF1,0,1,0,8773,0,0,1,641,5,0,0,60,1,0,0,0,0,139,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,47,0,0,0,0,0,0,170,500,1,116,85,0,0,0,0,24,0,0,1,0,0,0,0,1,0,1,0
MTRF1L,0,1,4,1,0,0,1,0,0,0,1397,0,1,0,0,0,0,4,0,0,1,14,1266,0,0,4,134,255,0,19,30,0,0,0,4,0,1,0,838,0,14,69,0,0,643,15,1,0,65,68,0,2,0,0,0,0,1435,353,0,0,0,1,113,1,0
MTRR,0,1,0,1,0,0,1,0,19,69,47,21,1,0,0,0,77,0,0,17,0,0,1298,0,0,0,0,0,0,344,59,0,0,10,7,0,1,15,1730,0,0,2,2,0,0,0,1,0,1578,0,7,0,0,13,2,0,1,1,0,0,0,1,0,1,0
MTSS1,2345,888,5978,577,7,2947,1,0,0,0,534,5038,859,408,12,538,119,13,0,66,2408,317,94,0,237,0,4,0,3059,408,478,36,0,10,4,32,739,2599,955,405,27,751,0,3209,0,9,132,0,0,73,3480,2572,0,1653,2956,34,232,1,0,0,229,1856,835,1320,22
MTSS1L,0,1,23,1,0,0,1,0,0,0,0,0,1,0,0,0,136,1,92,17,14,0,0,0,0,0,0,1,0,26,0,162,0,10,0,0,1,3,8,0,0,0,0,0,0,2,1,0,46,200,28,0,0,0,0,0,1,0,0,791,0,1,0,1,218
MTURN,0,101,0,1,0,0,1,43,0,0,0,0,1,0,0,2648,3986,0,0,0,146,0,726,0,0,0,0,0,15,77,173,68,281,0,1404,371,1,6,0,180,0,0,0,0,0,0,1420,0,0,0,14,0,0,0,0,232,2089,28,0,0,0,120,0,1,0
MTX1,0,1,0,1,46,0,1,3,0,0,19,0,1,0,125,0,0,17,346,32,0,0,0,0,0,0,0,2,75,0,2,0,0,165,0,0,362,0,0,20,0,40,0,0,2,0,1,0,0,0,0,0,3,96,0,2,1,0,0,0,0,1,0,384,0
MTX2,0,1,0,1,0,0,1,0,50,30,0,6,1,0,6,0,4209,0,1512,0,0,0,0,51,0,121,0,57,0,0,15,0,0,0,0,61,403,0,0,0,762,40,0,163,0,2,1,0,0,0,374,0,474,0,147,0,1,16,14,0,0,1,0,1,0
MTX3,0,177,0,1,241,14,1,14,90,59,0,0,1,519,205,0,10848,43,54,689,0,161,4,1191,0,0,2,0,75,3133,266,0,0,10,0,611,1,56,26,0,100,2,306,0,55,610,2635,14,12,0,426,0,0,0,2,22,1,54,997,0,0,1,3,1,0
MUM1,277,1,4,1,0,0,1,26,0,16,7,5,1,37,0,73,0,1,0,0,26,0,23,52,344,53,7,0,238,0,0,598,275,563,849,70,1,8,77,118,14,7,173,159,0,7,1,7,0,0,43,0,0,1,1,0,137,0,67,886,156,1,0,1,0
MUT,0,101,208,1,0,14,1,189,346,5,0,0,1146,0,6117,0,1536,0,21,0,1,0,0,12,795,0,0,9,0,0,0,0,0,87,0,0,1,0,8,498,0,0,10,0,0,0,1,0,0,25,0,1291,0,0,4,0,1,7,0,1473,0,1,672,1,0
MUTYH,0,1,4,1,0,0,1,107,0,2,0,210,82,0,0,0,0,3,0,1193,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,1,0,595,0,0,0,2,141,7,14,68,0,12,0,0,65,0,0,0,98,1,90,0,0,0,1,0,1,0
MVB12B,129,1,80,1,16,1542,1,0,0,0,0,0,754,0,0,4001,0,0,257,1307,0,0,65,0,0,1,0,0,41,0,4,0,0,625,0,767,1,57,0,0,0,0,2,0,2,0,1,205,0,0,0,0,715,3,33,309,1,0,0,0,50,1,0,1,22
MVD,0,1,0,1,5,0,1,2,0,0,0,625,1,49,0,0,100,0,0,0,0,0,4,0,0,12,0,2,240,54,0,0,724,0,28,0,1,0,0,0,0,2,1,0,5,0,1,0,0,32,134,0,0,0,0,0,1,1,0,0,0,120,6,1,0
MXD1,129,1,0,1,0,0,1,2,0,0,0,1368,1,0,0,0,0,298,0,5172,0,205,166,1,0,0,0,0,0,0,0,192,3799,10,0,0,1,0,0,0,229,9,0,0,1,0,1,1298,12,0,35,0,20,0,0,0,1,0,0,0,0,1,0,1,22
MXI1,0,177,9,1,141,0,1,83,369,0,86,0,1,1463,0,190,0,180,0,140,2644,0,0,379,447,41,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,140,557,1404,0,1,18,12,165,250,57,71,0,6,0,84,0,219,0,0,3637,0,1,22
MYADM,0,1,0,1,0,79,1,2,97,0,0,0,1,0,0,0,0,2,0,0,0,118,358,3,0,5,1,3,0,0,0,36,0,988,56,19,1,18,122,0,68,2,1,0,1,0,1,18,31,14,0,2,0,0,0,0,1,4,40,0,78,1,3,1,1359
MYBL2,0,1,4,1,0,0,1,0,258,0,0,0,1,0,0,0,0,2,0,51,1,0,0,1,0,84,0,1,0,0,25,36,0,0,224,0,1,0,8,0,14,128,0,0,23,31,1,0,0,0,0,0,192,0,0,0,84,25,0,0,0,1,0,1,0
MYCBP2,1506,101,0,882,7,118,1,3,92,383,121,103,2260,1187,22,37,0,1,21,0,2877,329,3421,3,409,29,7,0,995,36,2065,0,82,20,239,155,1,1208,52,20,3287,351,3,1074,2,72,726,140,129,3421,2572,2992,6,59,279,4,1,19,23,46,183,3076,4903,1,1131
MYCL,0,1,59,1,0,0,1,6,0,0,0,0,1,99,0,0,0,50,0,0,0,0,0,279,0,3,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,13,0,0,283,1,0,0,0,0,0,0,0,0,0,1,3,30,0,0,1,0,1,0
MYCN,0,2581,0,1,2,0,1,94,0,4,1082,465,1,122,0,495,0,2175,0,0,0,66,0,0,62,3,225,0,100,0,0,0,0,0,0,46,1,98,0,20,0,0,0,0,0,22,1,0,48,39,55,0,1,2304,0,0,1,2,0,0,0,1,414,1,0
MYDGF,64,1,0,1,2,0,1,0,1,3,19,0,1,0,18,0,0,27,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,53,24,0,1,2,0,0,120,14,0,0,6,6,1,0,0,0,0,0,137,0,129,530,1,0,0,380,0,1,0,1,99
MYEF2,129,553,28,315,7,59,1,26,11,368,405,54,1862,0,24,0,51,11,54,0,109,49,60,888,0,298,125,124,0,1852,0,0,272,0,1309,620,1,27,45,43,255,67,93,0,1692,67,1,23,1101,0,248,20,173,568,1478,2,1,9,59,542,78,359,25,1,227
MYEOV2,0,1,41,274,113,0,314,42,37,152,0,15,476,261,36,402,0,51,128,745,91,107,316,14,270,279,43,28,431,8,202,0,0,75,403,143,1090,102,221,299,51,132,137,250,213,16,207,86,0,273,0,24,186,18,26,6,1,70,29,0,0,1,194,1,114
MYH10,1076,614,41,1227,4180,26,1,2353,7,1688,18,1156,1,337,0,2706,34,30,0,46,5818,0,2789,16,371,101,2497,13,15,1574,793,462,1072,37,492,239,1,467,286,20,77,392,3689,0,582,22,68,263,0,1383,795,425,3593,114,204,14,220,1039,1205,5246,0,3469,1847,3353,5466
MYH9,0,1,0,158,25,0,1,0,23,2,115,18,1,18,0,337,0,10,0,42,11,0,9,0,0,4,1,158,0,26,0,0,0,774,0,51,1,19,0,0,0,19,6,104,3,3,68,7,0,14,0,2,2,3,134,318,1,98,4,0,0,1,6,1,0
MYL12A,129,1,129,1,885,2780,1,7,489,512,0,2,1,26,0,0,0,1176,0,40,1,711,0,547,62,981,262,458,15,0,0,0,0,104,30,0,1,5,168,20,0,5,730,0,18,117,1,0,0,0,7,7,27,18,37,3069,1,25,257,0,0,1,92,65,0
MYL12B,430,1572,428,1097,3539,938,1440,94,307,172,1052,318,391,676,37,1665,693,1202,117,27,203,94,1714,1064,127,404,804,23,769,2977,428,2797,1782,10,2026,155,1,2317,155,3491,2540,96,9,0,566,155,68,298,33,989,856,445,482,1241,382,7436,1,196,2,0,50,198,37,1,357
MYL6,2267,760,753,291,5507,3448,2389,2866,1133,1889,1969,1818,1937,2595,3564,2813,2644,243,406,2339,3799,1730,1410,524,127,1598,3242,1797,1142,900,3539,5213,1862,840,2690,376,1,2203,15,4804,27,1542,1660,1138,3175,2565,961,961,3668,1842,1757,355,3110,2823,1067,2884,1301,3380,1892,3123,2160,1,2482,1439,2617
MYL6B,64,1,76,1,61,376,255,221,3,11,182,256,1,152,0,0,0,3,219,0,19,197,650,20,0,0,36,289,15,0,69,0,385,128,21,0,1,166,0,294,0,30,2,0,341,42,644,0,108,108,0,0,2,129,76,52,1,8,29,0,1528,508,156,1,1469
MYNN,0,1,211,1,188,557,1,189,0,1,0,0,1,3099,0,0,0,113,0,79,24,0,0,465,62,32,1,0,0,0,714,229,0,0,0,0,1,1368,8,0,0,201,1,0,981,1335,1,622,826,0,259,652,1,773,167,142,84,65,2,0,3697,1,46,1,0
MYO10,129,520,2804,1,0,92,1130,1054,948,913,7,0,1,37,552,3198,473,10,151,179,1,96,112,43,62,157,18,18,1000,0,122,2450,0,1844,458,0,1099,0,0,62,278,120,2,156,1,215,1,74,3026,0,14,2,279,0,5123,3242,84,418,276,342,302,1,3,337,38
MYO18A,0,1,0,1,0,153,222,0,0,0,54,44,1,0,0,0,0,0,0,0,91,0,0,4,0,0,0,0,0,0,0,0,171,0,0,0,1,42,0,0,0,0,0,0,0,0,402,0,0,0,80,0,0,108,0,40,1,0,0,443,828,1,0,1,0
MYO1B,0,1,0,1633,0,473,1,0,125,676,0,0,1,0,0,37,0,2,0,0,0,0,0,51,0,1,258,1,15,0,0,0,0,0,0,0,1,0,0,0,0,2,29,332,0,48,1,0,0,0,0,0,103,75,0,1080,287,2466,13,0,0,449,0,1,3421
MYO5A,0,1,19,631,4,0,1,0,0,4,3082,106,387,0,633,918,34,1834,438,32,533,787,635,11,0,173,0,0,0,3775,12,36,168,20,228,0,1,2830,0,126,0,113,0,662,1,0,1,7,862,78,373,116,0,1129,45,0,6458,0,11,128,0,420,3018,553,22
MYO6,170,1,7,1,0,26,126,119,1868,8,69,2,1,463,2284,0,2291,222,260,6117,506,0,49,24,62,25,670,34,1338,8,1,313,0,0,4419,19,655,1,83,43,60,94,121,1273,3,1141,1,1812,39,25,31,68,9,15,3,1953,2550,4,4,0,208,1,0,989,0
MYO9A,6628,1,0,1,0,43,1,1,0,547,7,327,1233,1582,6,0,2920,7,0,0,17,36,1977,1,0,1769,347,0,15,0,3,0,0,0,965,2373,1,14,0,0,0,5,1,1188,0,0,1,0,194,54,883,113,8,0,0,558,2797,8,2,0,281,1,3,1,0
MYO9B,0,1,0,435,0,73,1,0,111,2,0,4,1,0,0,0,79,0,537,0,34,127,0,6,0,0,0,0,0,136,0,0,33,10,107,0,1,6,0,118,311,0,137,156,0,0,1,0,1528,144,0,18,1,73,88,363,1,6,0,0,0,1,57,196,65
MYSM1,0,101,0,2431,2943,26,9091,28,55,9,0,0,669,119,139,0,0,0,0,32,25,1229,0,360,127,0,1,46,47,97,0,0,0,471,12,1394,1,649,258,20,0,0,1,330,10,2,1353,14,623,0,69,83,165,3,884,0,84,17,1,0,2603,1,42,154,0
MYT1L,1202,101,7,1,0,60,1,0,0,0,480,148,4199,241,0,1420,0,0,0,0,4219,973,41,0,1394,0,0,0,1058,8,190,976,104,20,0,183,1,2172,0,162,0,0,0,0,0,0,2648,0,580,77,3018,2,0,1545,6,108,796,0,0,115,50,1,2515,1,114
MZT1,0,1,319,1,0,0,1,20,0,20,0,188,1,0,6,518,72,58,0,0,0,0,394,147,0,20,27,2603,0,195,103,0,0,0,0,0,1,6,0,0,0,0,703,0,1152,271,1,7,0,3533,7,470,1842,4,43,0,1,0,2466,0,0,1,0,1,0
MZT2B,0,1,4,1,13,0,1,0,21,3,0,2,1,0,14,0,0,0,0,40,0,0,0,14,468,33,23,14,15,0,2,0,0,36,14,0,491,2,8,280,60,0,8,0,6,0,202,0,43,0,0,5,8,0,0,0,1,2,10,0,0,1,73,176,0
N4BP1,0,1,0,1,0,0,126,0,0,5,0,12,1,18,79,0,0,0,0,0,19,0,0,576,62,0,0,2,0,0,95,36,0,0,33,0,1,2,0,888,0,0,0,72,1,10,496,83,0,14,203,0,0,0,0,1120,1,0,0,0,0,1,498,1,0
N4BP2,612,1,633,1,0,0,1,29,3722,2167,7,1491,1,18,0,482,0,885,233,35,579,14,9,0,0,12,519,184,0,69,1298,6515,0,0,0,1196,131,3,0,0,2610,227,40,0,48,208,1,3384,0,2681,240,1146,903,505,1,367,5313,73,37,315,0,1,2525,1,0
N4BP2L2,0,1,397,1,69,26,341,621,231,451,227,3123,1,40,237,451,433,115,0,0,1897,905,48,36,608,320,598,55,564,446,866,1353,1463,0,482,187,1,782,1127,591,231,193,7,662,18,4,2311,47,436,109,813,1112,457,215,201,2818,1,10,438,165,0,371,636,601,22
NAA10,1953,1,0,1,0,176,1,0,6,84,85,113,1,0,0,60,0,8,0,121,4,133,0,58,0,257,5,32,0,8,7,0,0,0,4,0,1,16,0,0,797,0,286,51,0,186,1,7,132,0,46,41,14,88,0,0,1,0,390,0,0,1,0,1,0
NAA15,0,1,338,598,5,926,14848,1297,123,3242,7,1993,1,1147,1656,0,613,8606,0,1753,1142,14,17,545,0,30,111,797,0,2780,2026,36,0,136,2966,65,2062,1083,3948,80,1220,4343,2,51,138,10,132,587,7069,25,552,10,857,587,3971,369,1,163,5,1881,831,1,1117,65,165
NAA16,0,1,0,227,0,14,1,148,567,4,144,28,234,64,0,82,0,0,0,17,0,0,0,14,0,11,245,10,0,0,10,0,33,235,0,0,1,1,152,20,138,360,2,0,1,49,1,128,0,119,0,0,318,0,0,0,1,20,345,1503,1341,1,0,1828,1062
NAA20,64,1,96,1401,896,0,1782,11,27,114,1542,242,1,0,0,0,34,9,185,0,155,14,369,923,62,377,224,0,0,794,2627,3375,0,0,215,908,1,1,8,0,14,255,389,1350,181,33,1,0,678,0,3737,18,570,290,11,0,1,160,12,46,2177,1,254,1749,0
NAA25,0,1,725,1,5,39,1,464,31,185,824,288,1039,0,443,60,51,61,21,0,1075,0,163,150,0,3,937,0,4410,19,6,0,33,736,0,255,1,183,8,62,0,7,4,0,0,1053,1,144,0,370,272,3198,0,110,38,619,988,0,0,433,50,5038,52,164,38
NAA30,0,1,15,1,4,177,1,0,0,527,0,61,210,0,0,0,0,0,0,1427,35,0,0,1,0,134,0,0,0,0,252,0,1717,0,0,473,1,0,0,0,0,0,0,788,0,0,1,0,0,0,0,0,3,0,50,0,84,19,0,3737,0,120,0,1,22
NAA35,0,1,7,1088,49,0,1,68,1,0,7,18,1,26,0,171,34,55,428,0,1371,24,181,62,0,2780,1146,3,0,36,888,529,70,0,113,0,756,561,0,0,0,123,23,0,0,426,1,0,0,25,23,226,11,0,1,0,1,1,1,0,0,1,0,693,78
NAA38,0,254,14,1,205,220,1,8,2,50,18,68,182,18,64,0,0,11,39,113,20,44,13,10,62,155,0,289,41,8,52,94,0,37,23,0,1,0,52,126,27,11,143,0,12,6,68,25,0,25,21,11,10,43,1,27,1,57,34,115,0,1,132,1,65
NAA40,0,1,7,1,0,0,1,34,80,0,22,16,82,64,0,0,0,1,65,0,443,0,0,28,0,0,0,9,0,0,79,0,1356,0,0,0,89,322,0,0,588,625,0,51,77,0,1,7,0,0,7,2207,0,263,0,2,1,6,48,0,0,120,0,1,22
NAA50,129,1,1171,1,8,4321,126,3,6,0,7,2,1,0,0,0,0,993,39,7663,612,0,0,11,62,29,0,0,41,0,31,84,0,5466,0,0,89,265,180,0,143,187,503,72,47,69,1,102,12,0,0,410,485,0,0,129,1560,25,36,0,0,1,0,1,247
NAALAD2,64,1,0,1,0,0,1,1,2,378,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3187,224,2,0,0,0,0,0,0,0,734,1,61,0,0,0,615,10,0,41,0,1,0,0,0,0,110,158,0,0,0,1,55,0,0,0,1,22,1,412
NAALADL2,0,1,4,1,0,0,1,19,0,0,0,0,1,0,0,273,0,1519,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,17,0,89,0,0,0,0,244,0,0,0,0,1,0,0,0,0,0,106,9,0,0,1,636,7,0,0,1,0,1,353
NAB1,64,1,4,1,0,0,1,1,0,6,0,0,1,0,97,96,34,43,0,143,0,28,30,1149,0,0,0,0,15,4804,0,0,0,1318,0,0,682,0,0,0,0,0,27,0,1739,13,1,14,0,25,14,2,0,450,83,1774,84,0,0,705,0,1,12,1,0
NAB2,0,1,0,1,0,0,507,3,0,0,214,384,1,1038,0,0,0,0,21,0,0,0,0,0,0,0,0,0,31,0,3,232,0,0,0,440,1,0,0,0,0,0,0,0,0,0,1,0,618,3948,0,0,0,0,0,0,1,0,0,0,3276,1,1142,1,0
NABP2,0,1,0,1,0,0,1,10,0,2,0,6,1,0,0,0,0,0,0,42,0,0,266,12,0,89,174,0,0,0,0,0,146,0,0,0,1,0,1353,0,0,0,1,0,95,0,1,7,0,0,133,12,4,26,0,0,188,0,22,0,0,1,0,1,0
NACA,350,4043,991,507,1197,1245,4452,3737,3697,3099,1190,2414,2893,956,2450,1463,1427,5818,68,1453,139,784,1753,4642,223,1717,3628,1316,1651,147,2003,484,1083,1413,3571,828,1,1115,1604,176,1722,1608,1461,1171,3971,3175,68,113,1730,752,685,428,2728,866,1297,1275,2062,2507,1614,419,256,120,1663,1937,564
